match,date,venue,max_possible_pts,model_points,model_overlap,model_capture_pct,career_capture_pct,form_capture_pct,random_capture_pct
Gujarat Titans vs Rajasthan Royals,2025-04-09,"Narendra Modi Stadium, Ahmedabad",758.5,613.5,7,80.88,79.76,84.05,48.71
Gujarat Titans vs Royal Challengers Bengaluru,2024-05-04,"M Chinnaswamy Stadium, Bengaluru",839.0,720.0,9,85.82,62.57,69.37,60.07
Gujarat Titans vs Royal Challengers Bengaluru,2024-04-28,"Narendra Modi Stadium, Ahmedabad",817.0,759.0,9,92.9,50.12,76.62,36.11
Gujarat Titans vs Sunrisers Hyderabad,2023-05-15,"Narendra Modi Stadium, Ahmedabad",1028.0,806.5,6,78.45,82.98,85.6,48.74
Kolkata Knight Riders vs Chennai Super Kings,2024-04-08,"MA Chidambaram Stadium, Chepauk, Chennai",654.5,487.0,7,74.41,56.07,78.07,65.09
Kolkata Knight Riders vs Delhi Capitals,2023-04-20,"Arun Jaitley Stadium, Delhi",719.0,525.0,8,73.02,62.03,45.76,29.69
Kolkata Knight Riders vs Delhi Capitals,2024-04-03,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",919.5,861.5,10,93.69,60.36,72.97,51.71
Kolkata Knight Riders vs Gujarat Titans,2023-04-29,"Eden Gardens, Kolkata",749.5,632.5,8,84.39,48.77,64.31,36.56
Kolkata Knight Riders vs Lucknow Super Giants,2024-05-05,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",749.5,704.5,8,94.0,61.77,81.45,59.71
Kolkata Knight Riders vs Mumbai Indians,2024-05-11,"Eden Gardens, Kolkata",653.5,517.0,8,79.11,59.14,70.54,36.57
Kolkata Knight Riders vs Mumbai Indians,2023-04-16,"Wankhede Stadium, Mumbai",765.5,655.0,8,85.56,51.67,63.23,23.25
Kolkata Knight Riders vs Mumbai Indians,2024-05-03,"Wankhede Stadium, Mumbai",882.0,723.0,7,81.97,64.46,73.92,31.18
Kolkata Knight Riders vs Mumbai Indians,2025-03-31,"Wankhede Stadium, Mumbai",653.0,567.0,7,86.83,57.04,75.65,47.17
Kolkata Knight Riders vs Punjab Kings,2024-04-26,"Eden Gardens, Kolkata",991.5,928.0,9,93.6,39.23,73.63,45.34
Kolkata Knight Riders vs Rajasthan Royals,2023-05-11,"Eden Gardens, Kolkata",764.0,643.0,8,84.16,57.98,79.32,54.32
Kolkata Knight Riders vs Rajasthan Royals,2024-04-16,"Eden Gardens, Kolkata",925.0,806.0,6,87.14,58.59,84.38,47.51
Kolkata Knight Riders vs Royal Challengers Bangalore,2023-04-06,"Eden Gardens, Kolkata",821.5,691.5,7,84.18,41.39,66.46,44.19
Kolkata Knight Riders vs Royal Challengers Bangalore,2023-04-26,"M Chinnaswamy Stadium, Bengaluru",743.5,665.5,8,89.51,55.95,76.4,29.86
Kolkata Knight Riders vs Royal Challengers Bengaluru,2024-04-21,"Eden Gardens, Kolkata",758.5,610.5,8,80.49,75.68,61.04,55.17
Kolkata Knight Riders vs Royal Challengers Bengaluru,2025-03-22,"Eden Gardens, Kolkata",710.5,609.5,8,85.78,64.32,80.58,52.22
Kolkata Knight Riders vs Sunrisers Hyderabad,2024-03-23,"Eden Gardens, Kolkata",796.5,595.0,6,74.7,56.31,71.81,42.44
Kolkata Knight Riders vs Sunrisers Hyderabad,2025-04-03,"Eden Gardens, Kolkata",726.5,667.0,10,91.81,63.94,81.42,69.17
Kolkata Knight Riders vs Sunrisers Hyderabad,2023-05-04,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",614.0,503.0,6,81.92,69.95,83.88,49.02
Lucknow Super Giants vs Chennai Super Kings,2023-05-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",432.0,389.0,9,90.05,85.19,86.57,48.84
